stationName,dow,06시이전,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,24시이후
왕십리,MON,38.78,149,248,598.44,583.33,797.22,623.67,561.11,567.11,597,633.44,679.22,893.22,1267.22,1068.44,1336.89,842.33,616.78,476.89,329.56
왕십리,TUE,41.33,163.78,297.67,705.22,648.44,820.11,618.89,546.89,564.11,616.11,618.67,713.78,896.11,1409.22,1160.67,1339.78,933,657.33,482.89,379.78
왕십리,WED,36.67,157.25,318.88,762.75,700.63,890.5,633.75,568.88,569.25,626.75,669.13,730,1042.38,1534.13,1332.25,1450.88,929.63,675.13,500.75,431.75
왕십리,THU,33.67,148.25,322.38,755.13,637.5,764.75,589.75,504,547.75,564.88,642.38,696.75,935.25,1504.75,1164.25,1314.75,888.25,671.63,512.38,435
왕십리,FRI,40.89,142.22,277.78,673.89,605.78,827,557,534.78,566.33,612.78,656.78,767.44,1056,1580,1368.89,1550.44,1114,759,613,511.67
왕십리,SAT,34.89,110.89,119.56,332.44,332.11,480,562.78,674,741.67,770.89,829.89,929,953.11,1052.67,1032.56,952.44,790.11,697.89,610.89,392.78
왕십리,SUN,27.44,86,85,188.67,246.89,324.56,424,457.89,564.67,560.67,641,685.11,770.56,807,750.78,713.11,606.22,537.44,466.11,214.67
한양대,MON,17.89,121.22,254.89,1249.78,1262.22,2337.78,1799.89,1763,841.78,1238.22,805.56,623.22,507.67,519.44,454.78,504.89,278.67,202.33,161.56,100.44
한양대,TUE,18.11,145.78,312.78,1595,1614.11,2829.78,1842.67,2030.11,917.67,1172.89,853.78,629.33,557.11,744.44,556,609.33,305.78,216.89,165.22,124.11
한양대,WED,18.67,138.75,315.13,1791.38,1533.38,3030.75,1744,2022,944.38,1269.38,903.75,678.75,578.25,667,568.63,584.5,298.25,214.5,167.13,128.38
한양대,THU,17.33,141.63,307.13,1769.25,1652.5,2592.38,1543.63,1788.38,908.63,1086.38,758.38,621.25,565.25,611.25,483.25,501.5,274.25,217.38,168,129.13
한양대,FRI,19.67,121.67,240.89,1428.22,1261,2310.89,1370.44,1462,841.44,951.33,711.89,532,500.11,475.11,417.67,380.67,278,211.56,190.89,148.33
한양대,SAT,14.22,52.44,76.89,343.44,415,519.44,479.33,432.56,430.78,426.11,425.89,376,323.78,281.78,257.22,215.89,188.33,187.22,187.11,110.67
한양대,SUN,11.56,38,49,96,128.89,171.22,207.67,249.44,284.11,283.67,269.33,264.11,257.56,245.22,221.78,211.44,200.33,183.33,168.11,83.78
뚝섬,MON,94,294,755.22,2589.78,2349.33,3585.56,2524.22,1342.89,1096.89,1053,1089.22,1010.56,1085.22,1314.78,1044.56,1081.89,689.33,412.11,318.89,213.78
뚝섬,TUE,96.78,337.33,928.44,3359,2873.67,3784.56,2529,1276.33,1073.56,1014.33,1042.22,988.56,1150.11,1384.22,1153.44,1142.56,743,453.89,310.22,233.78
뚝섬,WED,94.44,339.13,1016.13,3705,3094.63,4010,2642.38,1345,1046.13,973.75,997.13,1001.5,1162.63,1535.5,1222.13,1207.75,715.63,469,347,256.38
뚝섬,THU,82.11,331.63,980.38,3556.63,2944,3327,2175,1220.5,1065,981.88,1018.25,1031.13,1140.38,1503.88,1177.38,1108.88,671.25,472,340.63,258.5
뚝섬,FRI,92.89,297.78,857.44,3095.78,2685,3535.89,2362.11,1383.22,1130.67,1131,1168.44,1238.33,1376.33,1769.11,1427,1347.44,852.22,505.89,394.67,291.44
뚝섬,SAT,54.33,169.89,167.11,455.56,577.44,843.56,1101,1423.44,1634.56,1745.11,1767.78,1655.22,1597.44,1353.78,1151.78,857.33,594.22,441.78,337,221.67
뚝섬,SUN,30.11,106.89,118.67,361.89,420.78,798.56,947.22,1228.89,1388.78,1426.56,1447.89,1313.33,1244.44,1008.89,798.33,552.44,431.78,315.56,257.44,116.89
성수,MON,136.89,578,1315.44,4844.11,4065.89,6779.56,4297.67,2497.11,2069.89,2000.44,2039.22,1889.67,1913.33,2009.67,1568.11,1506.67,952.44,555.56,478.67,300.22
성수,TUE,149,678.56,1598.11,6162.56,4806.89,6972.11,4211.22,2374.11,1992.78,1819.44,1836,1759.56,1872.78,2153.67,1719.56,1586.67,1024.22,597.78,430.78,344.22
성수,WED,144.33,695.63,1786.25,6841.25,5104.75,7482,4376,2437.5,1915.88,1811.25,1827.63,1773.75,1952.63,2273.88,1872.38,1725.25,1088.5,645.13,456.88,365
성수,THU,134,711.5,1656,6511.75,4957.25,6150.88,3706.5,2173.5,1962.25,1860,1873.75,1901.25,2039,2415,1897.38,1693.38,1036,614,440.63,366.63
성수,FRI,148.67,625.44,1517.11,5776.44,4405.11,6708.22,4070.11,2463.33,2191.11,2180.22,2285.11,2284,2527.89,2913.56,2323.78,2126.33,1361.33,724.78,520.22,428.11
성수,SAT,62.89,317.89,302.67,790.56,1023.89,1581.11,1973.89,2508.89,3006.22,3305,3400,3294.67,3147.67,2722.22,2147.67,1506.33,974,630.78,557.67,385.89
성수,SUN,39,193.89,210.44,439.56,728.44,1300.56,1792.33,2253.11,2588.44,2770.22,2745.67,2560,2372.78,1861.44,1380.33,943.33,643.56,415.89,447.44,207.44
건대입구,MON,71.67,268.33,472.33,1313.44,1361,2049.22,1749.89,1673.56,1710.33,1679.67,1830.89,2063.22,2596.78,3445.78,3162.56,3621,2725.56,1739.44,1351.22,888.56
건대입구,TUE,69.11,300,559.78,1584.78,1560.67,2162.78,1787.11,1624.56,1595.33,1551,1732.89,1935.33,2524.67,3793.67,3380.44,3704.11,2809.11,1890.22,1391.44,995.22
건대입구,WED,66.56,307.5,578.75,1740,1567.38,2239,1761.63,1590.38,1569.88,1635,1791.25,1967.38,2599,4034.88,3569.5,3839.13,2779.88,1899.75,1408.13,1118.63
건대입구,THU,59,302.63,560.25,1677.5,1506.13,1959.38,1576.38,1497.38,1541.13,1547.63,1766.5,1964,2592.38,4002.63,3431,3614,2620.5,1974.75,1474.63,1128.63
건대입구,FRI,66.78,266.33,502.78,1465.44,1366.44,1884.44,1591.44,1458.33,1597.33,1694.22,1944.11,2209.78,3012.33,4618.89,4196.56,4527.89,3437.56,2372.78,1839.11,1409.22
